time,non-key,key
28.636,5962,0
28.736,6244,0
28.833,6086,0
28.933,6183,0
29.032,5991,0
29.134,6383,0
29.234,6973,0
29.335,6181,0
29.435,5718,0
29.536,5687,0
29.636,5516,0
29.737,5772,0
29.837,5395,0
29.933,5095,0
30.033,5556,0
30.13,5154,0
30.23,4883,0
30.33,4779,0
30.431,5320,0
30.531,5431,0
30.632,5942,0
30.732,5249,0
30.834,5182,0
30.934,4824,0
31.035,4517,0
31.135,4781,0
31.231,5478,0
31.331,6110,0
31.427,5568,0
31.527,5071,0
31.627,5621,0
31.728,6166,0
31.828,6676,0
31.93,6555,0
32.029,5607,0
32.131,5545,0
32.231,5163,0
32.332,5635,0
32.432,5416,0
32.532,5006,0
32.633,4876,0
32.733,5314,0
32.835,5231,0
32.935,5121,0
33.036,5156,0
33.136,5350,0
33.237,5649,0
33.337,5669,0
33.433,5220,0
33.533,5474,0
33.629,5559,0
33.729,5166,0
33.829,4853,0
33.93,5328,0
34.03,5331,0
34.131,4822,0
34.231,4810,0
34.333,4796,0
34.433,4993,0
34.534,5297,0
34.634,5089,0
34.73,5573,0
34.83,6437,0
34.926,6512,0
35.026,6761,0
35.126,6577,0
35.227,6561,0
35.327,6557,0
35.428,6498,0
35.528,5766,0
35.63,6541,0
35.73,6418,0
35.831,5866,0
35.931,5870,0
36.027,0,29839
36.127,8575,0
36.223,7594,0
36.323,7408,0
36.423,6607,0
36.524,6848,0
36.624,8905,0
36.726,9565,0
36.826,7739,0
36.927,6660,0
37.027,6835,0
37.123,6634,0
37.223,6212,0
37.323,5948,0
37.424,5847,0
37.524,5848,0
37.626,6731,0
37.726,6452,0
37.827,6264,0
37.927,6207,0
38.028,6445,0
38.128,5989,0
38.224,5804,0
38.324,5374,0
38.42,5552,0
38.52,5763,0
38.62,6013,0
38.722,6223,0
38.822,5810,0
38.923,5369,0
39.023,5441,0
39.124,5125,0
39.224,5016,0
39.326,5158,0
39.426,4761,0
39.521,5108,0
39.621,5099,0
39.717,5378,0
39.817,4665,0
39.917,4937,0
40.019,4961,0
40.119,4675,0
40.221,5174,0
40.321,5671,0
40.422,5391,0
40.522,5417,0
40.623,5598,0
40.723,5517,0
40.823,5541,0
40.925,6467,0
41.025,6426,0
41.126,5790,0
41.226,5912,0
41.328,5627,0
41.428,5825,0
41.529,5743,0
41.629,5901,0
41.73,5399,0
41.83,5439,0
41.926,5427,0
42.026,5376,0
42.126,4804,0
42.227,4987,0
42.327,5229,0
42.428,5252,0
42.528,5009,0
42.63,5307,0
42.73,5184,0
42.831,5546,0
42.931,5325,0
43.032,4940,0
43.132,4938,0
43.232,4912,0
43.333,5182,0
43.433,4950,0
43.534,4382,0
43.634,4563,0
43.735,4769,0
43.835,4890,0
43.937,5307,0
44.037,5230,0
44.138,5004,0
44.238,5241,0
44.333,5182,0
44.433,5211,0
44.533,5829,0
44.634,5674,0
44.734,5556,0
44.835,5486,0
44.935,6045,0
45.036,5753,0
45.136,5887,0
45.237,6068,0
45.337,5190,0
45.432,5680,0
45.532,5773,0
45.628,6378,0
45.728,7027,0
45.828,7059,0
45.929,6384,0
46.029,6690,0
46.13,8219,0
46.23,8302,0
46.331,6698,0
46.431,6023,0
46.533,5987,0
46.633,6066,0
46.728,5499,0
46.828,6051,0
46.923,6674,0
47.023,7601,0
47.123,9148,0
47.224,9247,0
47.324,9313,0
47.426,7456,0
47.526,6427,0
47.627,6212,0
47.727,5927,0
47.823,6084,0
47.923,6176,0
